school_code,date,meal,served_total,offered_total,planned_total,discarded_total,leftover_total,production_cost_total,discarded_cost_total,school_name,region,region_num,school_level,distribution_kitchen,fns_area,cep,school_name_norm,cost_per_meal,deviation_vs_planned,waste_qty,waste_rate,discarded_cost_per_meal,year,month,week,day
305,2025-05-01,Breakfast,2.0,0.0,594.0,2858.0,94.0,199.04,0.94,Aldrin Elementary,Region 1,1,ES,Herndon,4,0,ALDRIN ES,99.52,-592.0,2858.0,0.0,0.47,2025,5,18,1
320,2025-05-01,Lunch,70.0,40.0,10744.0,8992.0,2134.0,3369.08,64.08,South Lakes High,Region 1,1,HS,Herndon,10,0,SOUTH LAKES HS,48.129714285714286,-10674.0,8992.0,224.8,0.9154285714285714,2025,5,18,1
320,2025-05-01,Breakfast,12.0,34.0,1350.0,5800.0,430.0,342.46000000000004,10.84,South Lakes High,Region 1,1,HS,Herndon,10,0,SOUTH LAKES HS,28.538333333333338,-1338.0,5800.0,170.58823529411765,0.9033333333333332,2025,5,18,1
244,2025-05-01,Breakfast,2.0,2.0,334.0,869.9999999999999,160.0,130.38,0.64,Cub Run Elementary,Region 5,5,ES,Westfield,8,0,CUB RUN ES,65.19,-332.0,869.9999999999999,434.99999999999994,0.32,2025,5,18,1
244,2025-05-01,Lunch,40.0,64.0,1132.0,8732.0,982.0,1432.62,30.56,Cub Run Elementary,Region 5,5,ES,Westfield,8,0,CUB RUN ES,35.8155,-1092.0,8732.0,136.4375,0.764,2025,5,18,1
422,2025-05-01,Lunch,8.0,176.0,3644.0,1038.0,1572.0,1804.96,1.68,South County Middle,Region 4,4,MS,South County,7,0,SOUTH COUNTY MS,225.62,-3636.0,1038.0,5.8977272727272725,0.21,2025,5,18,1
422,2025-05-01,Breakfast,0.0,12.0,616.0,0.0,378.0,90.48,0.0,South County Middle,Region 4,4,MS,South County,7,0,SOUTH COUNTY MS,0.0,-616.0,378.0,31.5,0.0,2025,5,18,1
66,2025-05-01,Breakfast,0.0,0.0,340.0,0.0,144.0,154.96,0.0,Cunningham Park Elementary,Region 1,1,ES,Marshall,5,0,CUNNINGHAM PARK ES,0.0,-340.0,144.0,0.0,0.0,2025,5,18,1
337,2025-05-01,Lunch,30.0,0.0,3336.0,6880.0,0.0,1589.88,37.16,Crossfield Elementary,Region 1,1,ES,Herndon,4,0,CROSSFIELD ES,52.995999999999995,-3306.0,6880.0,0.0,1.2386666666666666,2025,5,18,1
66,2025-05-01,Lunch,12.0,0.0,1364.0,12000.0,350.0,1097.4,10.32,Cunningham Park Elementary,Region 1,1,ES,Marshall,5,0,CUNNINGHAM PARK ES,91.45,-1352.0,12000.0,0.0,0.86,2025,5,18,1
106,2025-05-01,Breakfast,0.0,0.0,1684.0,0.0,154.0,423.26,0.0,Sleepy Hollow Elementary,Region 2,2,ES,Falls Church,2,1,SLEEPY HOLLOW ES,0.0,-1684.0,154.0,0.0,0.0,2025,5,18,1
397,2025-05-01,Breakfast,0.0,8.0,752.0,0.0,362.0,280.0,0.0,Daniels Run Elementary,Region 5,5,ES,Chantilly,1,0,DANIELS RUN ES,0.0,-752.0,362.0,45.25,0.0,2025,5,18,1
397,2025-05-01,Lunch,48.0,548.0,2320.0,4342.0,926.0,1912.24,9.46,Daniels Run Elementary,Region 5,5,ES,Chantilly,1,0,DANIELS RUN ES,39.83833333333333,-2272.0,4342.0,7.923357664233577,0.1970833333333333,2025,5,18,1
