Source_File,Page,Item_Name,Category_Guess
08 Breakfast Menu_March.pdf,1,12125 for more information,Uncategorized
08 Breakfast Menu_March.pdf,1,daily cereal options cinnamon chex blueberry chex,Uncategorized
08 Breakfast Menu_March.pdf,1,honey cheerios cinnamon toast crunch 25 reduced sugar,Uncategorized
08 Breakfast Menu_March.pdf,1,monday tuesday wednesday thursday friday,Uncategorized
08 Breakfast Menu_March.pdf,1,3 bagel 4 sausage 5 pumpkin bread 6 egg cheese 7 bluberry bread,Uncategorized
08 Breakfast Menu_March.pdf,1,on biscuit w string cheese on biscuit w string cheese,Uncategorized
08 Breakfast Menu_March.pdf,1,biscuit grape jam turkey cheese mini maple pancakes,Uncategorized
08 Breakfast Menu_March.pdf,1,pineapple parfait on biscuit mandarin parfait,Uncategorized
08 Breakfast Menu_March.pdf,1,strawberry parfait strawberry parfait,Uncategorized
08 Breakfast Menu_March.pdf,1,mandarin parfait,Uncategorized
08 Breakfast Menu_March.pdf,1,assorted fruit assorted fruit assorted fruit assorted fruit assorted fruit,Uncategorized
08 Breakfast Menu_March.pdf,1,andor andor andor andor andor,Uncategorized
08 Breakfast Menu_March.pdf,1,100 fruit juice 100 fruit juice 100 fruit juice 100 fruit juice 100 fruit juice,Uncategorized
08 Breakfast Menu_March.pdf,1,10 mini maple 11 sausage 1 2 pumpkin bread 13 egg cheese 1 4 blueberry muffin,Uncategorized
08 Breakfast Menu_March.pdf,1,pancakes on biscuit w string cheese on biscuit top w string cheese,Uncategorized
08 Breakfast Menu_March.pdf,1,17 mini maple 18 sausage 19 pumpkin bread 20 egg cheese 2 1 blueberry muffin,Uncategorized
08 Breakfast Menu_March.pdf,1,on biscuit,Uncategorized
08 Breakfast Menu_March.pdf,1,pineapple parfait mandarin parfait,Uncategorized
08 Breakfast Menu_March.pdf,1,24 bagel 25 sausage 26 pumpkin bread 27 egg cheese 28 bluberry bread,Uncategorized
08 Breakfast Menu_March.pdf,1,fruit options may include the following whole apple whole orange andor whole banana,Uncategorized
08 Breakfast Menu_March.pdf,1,100 juice options may include the following apple andor orange tangerine,Uncategorized
08 Breakfast Menu_March.pdf,1,follow us,Uncategorized
08 ES Lunch Menu_March.pdf,1,1133112255 for more information,Uncategorized
08 ES Lunch Menu_March.pdf,1,eelleemmeennttaarryy sscchhooooll,Uncategorized
08 ES Lunch Menu_March.pdf,1,ddaaiillyy mmiillkk ooppttiioonnss uunnflflaavvoorreedd sskkiimm uunnflflaavvoorreedd 11 oorr ffllaavvoorreedd sskkiimm,Uncategorized
08 ES Lunch Menu_March.pdf,1,ssaallaadd bbaarr ooffffeerreedd wwiitthh eevveerryy mmeeaall,Uncategorized
08 ES Lunch Menu_March.pdf,1,hot entrées vegetables,Uncategorized
08 ES Lunch Menu_March.pdf,1,3 4 5 6 7,Uncategorized
08 ES Lunch Menu_March.pdf,1,breaded chicken fish tacos meatball sub chicken masala turkey,Tex-Mex
08 ES Lunch Menu_March.pdf,1,tenders w blueberry w spicy mayo drumstick pepperoni pizza,Pizza
08 ES Lunch Menu_March.pdf,1,alfredo basil lasagna,Pasta
08 ES Lunch Menu_March.pdf,1,breakfast bread fruit salsa w brown rice,Indian
08 ES Lunch Menu_March.pdf,1,rollup cheese pizza,Pizza
08 ES Lunch Menu_March.pdf,1,chickenless bites,Chicken/Entrée
08 ES Lunch Menu_March.pdf,1,cheese quesadilla chana masala,Tex-Mex
08 ES Lunch Menu_March.pdf,1,w blueberry breakfast,Uncategorized
08 ES Lunch Menu_March.pdf,1,w brown rice,Indian
08 ES Lunch Menu_March.pdf,1,bread plantains,Vegetarian/Vegan
08 ES Lunch Menu_March.pdf,1,10 11 12 13 14,Uncategorized
08 ES Lunch Menu_March.pdf,1,bbq chicken sandwich turkey barbacoa chicken philly sub orange chicken turkey,Sandwich/Burger
08 ES Lunch Menu_March.pdf,1,w slaw arepas w shredded w brown rice pepperoni pizza,Pizza
08 ES Lunch Menu_March.pdf,1,w roll orange chickenless cheese pizza,Pizza
08 ES Lunch Menu_March.pdf,1,hot turkey cheese,Uncategorized
08 ES Lunch Menu_March.pdf,1,bean cheese pupusa bites w brown rice,Tex-Mex
08 ES Lunch Menu_March.pdf,1,tex mex corn steamed broccoli,Uncategorized
08 ES Lunch Menu_March.pdf,1,grilled cheese sandwich,Sandwich/Burger
08 ES Lunch Menu_March.pdf,1,tomato soup,Uncategorized
08 ES Lunch Menu_March.pdf,1,17 18 19 20 21,Uncategorized
08 ES Lunch Menu_March.pdf,1,cheeseburger pasta nachos w turkey asian meatball sub turkey,Tex-Mex
08 ES Lunch Menu_March.pdf,1,on bun meatballs barbacoa cheese sauce w spicy mayo pepperoni pizza,Pizza
08 ES Lunch Menu_March.pdf,1,w marinara sauce,Cheese/Grain
08 ES Lunch Menu_March.pdf,1,vegan burger cheese pizza,Pizza
08 ES Lunch Menu_March.pdf,1,nachos w cheese sauce asian veggie sub,Tex-Mex
08 ES Lunch Menu_March.pdf,1,on bun baked cheese sticks,Sandwich/Burger
08 ES Lunch Menu_March.pdf,1,or nachos w black w spicy mayo,Tex-Mex
08 ES Lunch Menu_March.pdf,1,baked fries beans cheese sauce,Uncategorized
08 ES Lunch Menu_March.pdf,1,24 25 26 27 28,Uncategorized
08 ES Lunch Menu_March.pdf,1,chickenless bites cheese quesadilla chana masala,Tex-Mex
08 ES Lunch Menu_March.pdf,1,w blueberry breakfast w brown rice,Indian
08 ES Lunch Menu_March.pdf,1,salad greens salad greens salad greens salad greens salad greens,Uncategorized
08 ES Lunch Menu_March.pdf,1,2 vegetables 2 vegetables 2 vegetables 2 vegetables 2 vegetables,Uncategorized
08 ES Lunch Menu_March.pdf,1,assorted beans assorted beans assorted beans assorted beans assorted beans,Uncategorized
08 ES Lunch Menu_March.pdf,1,soft pretzel soft pretzel soft pretzel soft pretzel soft pretzel,Uncategorized
08 ES Lunch Menu_March.pdf,1,pbj power pack yogurt power pack,Uncategorized
08 ES Lunch Menu_March.pdf,1,red pepper strips corn,Uncategorized
08 ES Lunch Menu_March.pdf,1,vegetarian vegan,Vegetarian/Vegan
08 ES Lunch Menu_March.pdf,1,bean options black beans garbanzo beans,Uncategorized
08 HS Lunch Menu_March.pdf,1,hhiigghh sscchhooooll,Uncategorized
08 HS Lunch Menu_March.pdf,1,chicken tenders w fish tacos meatball sub chicken masala turkey,Tex-Mex
08 HS Lunch Menu_March.pdf,1,blueberry breakfast bread w spicy mayo fruit salsa alfredo basil lasagna drumstick w brown rice pepperoni pizza,Pizza
08 HS Lunch Menu_March.pdf,1,chickenless bites w cheese quesadilla rollup w roll chana masala cheese pizza,Pizza
08 HS Lunch Menu_March.pdf,1,blueberry breakfast bread chicken vegetable chickenless bites w brown rice spicy chicken,Indian
08 HS Lunch Menu_March.pdf,1,veggie dumplings dumplings w roll chicken tenders w roll on bun,Sandwich/Burger
08 HS Lunch Menu_March.pdf,1,w orange sauce w sweet chili sauce chicken cheese cheese calzone vegan burger,Sandwich/Burger
08 HS Lunch Menu_March.pdf,1,baked cheese sticks spicy chicken on bun quesadilla w marinara sauce on bun,Tex-Mex
