School_Code,School_Name,Region,School_Level,Distribution_Kitchen,FNS_Area,CEP,Region_Num
305,aldrin es,Region 1,ES,Herndon,4,0,1
140,annandale hs,Region 6,HS,Falls Church,9,1,6
144,annandale terrace es,Region 6,ES,Falls Church,9,1,6
304,armstrong es,Region 1,ES,Herndon,4,0,1
103,baileys es,Region 2,ES,Falls Church,2,1,2
107,baileys upper es,Region 2,ES,Falls Church,2,1,2
096,beech tree es,Region 2,ES,Falls Church,2,1,2
202,belle view es,Region 3,ES,Mount Vernon,6,0,3
456,belvedere es,Region 2,ES,Falls Church,2,0,2
395,bonnie brae es,Region 4,ES,South County,7,0,4
147,braddock es,Region 6,ES,Falls Church,9,1,6
114,bren mar park es,Region 6,ES,Hayfield,3,1,6
263,brookfield es,Region 5,ES,Westfield,10,1,5
207,bucknell es,Region 3,ES,Mount Vernon,6,1,3
437,bull run es,Region 4,ES,Westfield,8,0,4
123,bush hill es,Region 3,ES,Hayfield,3,0,3
086,camelot es,Region 2,ES,Falls Church,2,0,2
192,cameron es,Region 3,ES,Hayfield,3,1,3
402,canterbury woods es,Region 5,ES,Chantilly,9,0,5
154,cardinal forest es,Region 4,ES,South County,9,0,4
171,carson ms,Region 1,MS,Herndon,4,0,1
436,centre ridge es,Region 4,ES,Westfield,8,1,4
433,centreville es,Region 4,ES,Westfield,8,0,4
410,centreville hs,Region 4,HS,Westfield,8,0,4
250,chantilly hs,Region 5,HS,Chantilly,1,0,5
372,cherry run es,Region 4,ES,South County,7,0,4
035,chesterbrook es,Region 2,ES,Marshall,5,0,2
026,churchill road es,Region 1,ES,Marshall,5,0,1
282,clearview es,Region 1,ES,Herndon,4,0,1
193,clermont es,Region 3,ES,Hayfield,3,0,3
285,coates es,Region 5,ES,Herndon,4,1,5
431,colin powell es,Region 4,ES,Westfield,8,0,4
455,columbia es,Region 6,ES,Falls Church,2,0,6
017,colvin run es,Region 1,ES,Marshall,10,0,1
021,cooper ms,Region 1,MS,Marshall,5,0,1
166,crestwood es,Region 6,ES,Hayfield,9,1,6
337,crossfield es,Region 1,ES,Herndon,4,0,1
244,cub run es,Region 5,ES,Westfield,8,0,5
066,cunningham park es,Region 1,ES,Marshall,5,0,1
397,daniels run es,Region 5,ES,Chantilly,1,0,5
242,deer park es,Region 5,ES,Westfield,8,0,5
336,dogwood es,Region 1,ES,Herndon,10,1,1
273,dranesville es,Region 1,ES,Herndon,4,0,1
136,eagle view es,Region 5,ES,Westfield,8,0,5
120,edison hs,Region 3,HS,Hayfield,3,0,3
500,fairfax hs,Region 5,HS,Chantilly,1,0,5
173,fairfax villa es,Region 5,ES,Chantilly,1,0,5
087,fairhill es,Region 2,ES,Marshall,5,0,2
362,fairview es,Region 4,ES,South County,7,0,4
090,falls church hs,Region 2,HS,Falls Church,2,1,2
063,flint hill es,Region 1,ES,Chantilly,1,0,1
286,floris es,Region 5,ES,Herndon,10,0,5
302,forest edge es,Region 1,ES,Herndon,4,1,1
165,forestdale es,Region 6,ES,Hayfield,3,1,6
295,forestville es,Region 1,ES,Herndon,4,0,1
197,fort belvoir es primary es,Region 3,ES,Mount Vernon,6,0,3
187,fort belvoir upper es,Region 3,ES,Mount Vernon,6,0,3
217,fort hunt es,Region 3,ES,Mount Vernon,6,0,3
334,fox mill es,Region 1,ES,Herndon,10,0,1
122,franconia es,Region 3,ES,Hayfield,3,0,3
331,franklin ms,Region 5,MS,Westfield,10,0,5
025,franklin sherman es,Region 2,ES,Marshall,5,0,2
077,freedom hill es,Region 5,ES,Marshall,5,0,5
131,frost ms,Region 5,MS,Chantilly,1,0,5
162,garfield es,Region 6,ES,Hayfield,3,1,6
101,glasgow ms,Region 2,MS,Falls Church,2,1,2
104,glen forest es,Region 2,ES,Falls Church,2,1,2
093,graham rd es,Region 2,ES,Falls Church,2,1,2
297,great falls es,Region 1,ES,Herndon,4,0,1
254,greenbriar east es,Region 5,ES,Westfield,8,0,5
255,greenbriar west es,Region 5,ES,Westfield,8,0,5
205,groveton es,Region 3,ES,Mount Vernon,6,1,3
348,gunston es,Region 6,ES,South County,7,0,6
356,halley es,Region 4,ES,South County,7,0,4
033,haycock es,Region 2,ES,Marshall,5,0,2
184,hayfield es,Region 6,ES,Hayfield,3,0,6
180,hayfield ss,Region 6,HS,Hayfield,3,0,6
276,herndon es,Region 1,ES,Herndon,4,1,1
270,herndon hs,Region 1,HS,Herndon,4,0,1
281,herndon ms,Region 1,MS,Herndon,4,1,1
214,hollin meadows es,Region 3,ES,Mount Vernon,6,1,3
111,holmes ms,Region 6,MS,Hayfield,3,1,6
321,hughes ms,Region 1,MS,Herndon,4,0,1
378,hunt valley es,Region 4,ES,South County,7,0,4
327,hunters woods es,Region 1,ES,Herndon,10,0,1
287,hutchison es,Region 1,ES,Herndon,4,1,1
206,hybla valley es,Region 3,ES,Mount Vernon,6,1,3
151,irving ms,Region 4,MS,Hayfield,9,0,4
429,island creek es,Region 6,ES,Hayfield,3,0,6
300,jefferson hs,Region 6,HS,Hayfield,9,0,6
501,johnson ms,Region 5,MS,Chantilly,1,0,5
100,justice hs,Region 2,HS,Falls Church,2,1,2
157,keene mill es,Region 4,ES,Hayfield,3,0,4
036,kent gardens es,Region 2,ES,Marshall,5,0,2
161,key ms,Region 6,MS,Hayfield,3,1,6
071,kilmer ms,Region 5,MS,Marshall,5,0,5
406,kings glen es,Region 4,ES,Chantilly,9,0,4
407,kings park es,Region 4,ES,Chantilly,9,0,4
307,lake anne es,Region 1,ES,Herndon,4,0,1
400,lake braddock ss,Region 4,HS,Westfield,9,0,4
127,lane es,Region 6,ES,Hayfield,3,0,6
020,langley hs,Region 1,HS,Marshall,5,0,1
403,laurel hill es,Region 4,ES,South County,7,0,4
394,laurel ridge es,Region 4,ES,South County,7,0,4
252,lees corner es,Region 5,ES,Westfield,10,0,5
074,lemon road es,Region 5,ES,Marshall,5,0,5
160,lewis hs,Region 6,HS,Hayfield,3,1,6
411,liberty ms,Region 4,MS,Westfield,8,0,4
133,little run es,Region 5,ES,Chantilly,1,0,5
245,london towne es,Region 5,ES,Westfield,8,1,5
031,longfellow ms,Region 2,MS,Marshall,5,0,2
343,lorton station es,Region 6,ES,South County,7,1,6
067,louise archer es,Region 1,ES,Chantilly,1,0,1
081,luther jackson ms,Region 2,MS,Falls Church,2,0,2
164,lynbrook es,Region 6,ES,Hayfield,9,1,6
060,madison hs,Region 1,HS,Chantilly,10,0,1
138,mantua es,Region 5,ES,Chantilly,1,0,5
070,marshall hs,Region 5,HS,Marshall,5,0,5
054,marshall road es,Region 1,ES,Chantilly,1,0,1
453,mason crest es,Region 2,ES,Falls Church,2,0,2
030,mclean hs,Region 2,HS,Marshall,5,0,2
335,mcnair es,Region 5,ES,Herndon,10,0,5
027,mcnair upper es,Region 5,ES,Herndon,10,0,5
053,mosaic es,Region 1,ES,Chantilly,1,0,1
203,mount eagle es,Region 3,ES,Mount Vernon,6,1,3
220,mount vernon hs,Region 3,HS,Mount Vernon,6,0,3
223,mount vernon woods es,Region 3,ES,Mount Vernon,6,1,3
332,navy es,Region 1,ES,Chantilly,1,0,1
352,newington forest es,Region 4,ES,South County,7,0,4
142,north springfield es,Region 6,ES,Hayfield,9,0,6
333,oak hill es,Region 5,ES,Westfield,10,0,5
392,oak view es,Region 4,ES,South County,7,0,4
052,oakton es,Region 1,ES,Chantilly,1,0,1
050,oakton hs,Region 1,HS,Chantilly,1,0,1
135,olde creek es,Region 5,ES,Chantilly,1,0,5
374,orange hunt es,Region 4,ES,South County,7,0,4
102,parklawn es,Region 2,ES,Falls Church,2,1,2
084,pine spring es,Region 2,ES,Falls Church,2,1,2
141,poe ms,Region 6,MS,Falls Church,9,1,6
